checked_at,AA1476,AA1872,AA2966,AA3105,AS265,AS328,AS410,AS429,AS583,AS587,DL2041,DL2055,DL637,UA2099,UA2618,UA2835,UA341
2026-08-18 16:02:35,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 16:12:16,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 16:22:20,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 16:30:30,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 16:36:35,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 16:43:02,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 16:52:32,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 17:00:46,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 17:06:43,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 17:12:45,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 17:22:17,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 17:32:20,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 17:42:23,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 17:52:14,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 18:02:26,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 18:12:23,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 18:22:17,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 18:32:25,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 18:42:27,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 18:52:25,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 19:02:23,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 19:12:19,159.00,159.00,159.00,159.00,220.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 19:22:29,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 19:32:30,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 19:42:22,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 19:52:18,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 20:02:31,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 20:12:27,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 20:22:34,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 20:32:32,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 20:42:27,159.00,159.00,159.00,159.00,252.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 20:52:19,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
