checked_at,DL1143,DL1216,UA1416,UA1477,UA2600,UA277,UA469,UA491
2026-08-18 16:06:05,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 16:15:41,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 16:25:42,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 16:33:55,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 16:40:11,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 16:46:34,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 16:56:00,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 17:04:13,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 17:10:15,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 17:16:19,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 17:26:00,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 17:35:47,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 17:45:49,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 17:55:30,159.00,159.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 18:05:57,139.00,139.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 18:15:46,139.00,139.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 18:25:46,139.00,139.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 18:35:58,139.00,139.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 18:45:59,139.00,139.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 18:55:48,139.00,139.00,159.00,139.00,139.00,159.00,159.00,159.00
2026-08-18 19:06:00,139.00,139.00,159.00,139.00,139.00,159.00,159.00,159.00
