checked_at,AA1263,AA1264,AA1427,AA2223,AA2723,AA2941,AA3128,AA392,AA855,AA903,DL1642,DL2240,DL2251,DL2633,DL2767,DL2917,DL2985,UA1258,UA1310,UA1437,UA1657,UA1682,UA2092,UA2342,UA2389,UA2635,UA529,UA623,UA669
2026-08-18 16:04:22,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 16:13:57,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 16:24:00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 16:32:15,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 16:38:25,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 16:44:44,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 16:54:16,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 17:02:33,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 17:08:26,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 17:14:33,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 17:24:08,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
