checked_at,AA6284,AA6376,DL2002,DL2148,UA1013,UA1347,UA1638,UA1912,UA2061,UA405
2026-08-18 15:52:47,79.00,79.00,79.00,,79.00,,79.00,,,79.00
2026-08-18 16:00:25,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 16:10:15,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 16:20:19,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 16:28:25,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 16:34:33,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 16:40:51,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 16:50:15,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 16:58:40,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 17:04:37,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 17:10:42,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 17:20:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 17:30:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 17:40:21,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 17:50:17,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 18:00:25,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 18:10:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 18:20:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 18:30:21,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 18:40:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 18:50:20,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 19:00:22,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 19:10:16,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 19:20:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 19:30:22,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 19:40:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 19:50:16,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 20:00:22,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 20:10:15,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 20:20:17,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 20:30:21,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 20:40:20,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 20:50:24,,119.00,,79.00,,79.00,,79.00,79.00,
2026-08-18 21:00:24,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 21:10:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 21:20:24,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 21:30:21,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 21:40:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 21:50:19,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 22:00:24,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 22:10:17,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 22:20:16,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 22:30:21,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
2026-08-18 22:40:18,79.00,119.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00
