checked_at,AA54,AA86,AA98,BA1518,BA1543,BA1601,BA294,BA296,BA298,IB3633,IB3635,IB4208,IB4860,IB8552,UA920,UA929,UA938
2026-08-26 18:19:21,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-26 19:01:01,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-26 19:11:13,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-26 19:28:53,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-26 19:39:08,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-26 19:49:07,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-26 19:59:09,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-26 20:09:12,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-26 20:19:11,712.00,712.00,712.00,755.00,755.00,755.00,712.00,712.00,712.00,711.00,710.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-26 20:29:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,798.00,786.00,798.00,712.00,712.00,712.00
2026-08-26 20:39:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-26 20:49:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-26 20:59:12,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-26 21:09:11,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-26 21:19:09,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-26 21:29:11,712.00,712.00,712.00,723.00,723.00,723.00,712.00,712.00,712.00,721.00,721.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-26 21:39:05,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-26 21:49:11,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
