checked_at,watch_id,origin,destination,departure_date,flight_number,price,ok,error
2026-08-03T20:52:01.911428+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T20:52:05.199340+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T20:52:08.531167+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T20:52:11.798750+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T20:53:51.686194+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T20:53:54.995608+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T20:53:58.272181+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T20:54:01.694977+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T21:05:21.380552+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T21:05:24.700150+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T21:05:27.905575+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T21:05:31.132421+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T21:10:23.186158+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T21:10:26.580231+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T21:10:29.890279+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T21:10:33.258625+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T21:15:14.843882+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T21:15:18.180557+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T21:15:21.541679+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T21:15:24.841308+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T21:20:27.598655+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T21:20:31.155741+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T21:20:34.649219+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T21:20:38.256234+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T21:25:10.464023+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T21:25:13.725167+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T21:25:16.974362+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T21:25:20.363560+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T21:30:13.766561+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T21:30:17.072679+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T21:30:20.359823+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-03T21:30:23.676793+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-03T21:35:17.951199+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-03T21:35:21.147796+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-03T21:35:24.637671+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
